function,usa_v5_5,italy_v1_2,classification,destination
_parse_recipients,NO,YES,ITALY_ONLY,notifications/email_client.py
action_needed_text,YES,YES,COMMON,reports/email_report.py
attach_history_states,YES,YES,COMMON,state/change_engine.py
build_action_board,YES,YES,COMMON,reports/email_report.py
build_candidate,YES,YES,COMMON,market/universe.py
build_candidates,YES,YES,COMMON,market/universe.py
build_discovery_where,YES,YES,COMMON,market/universe.py
build_entry_plan,YES,YES,COMMON,engine/entry.py
build_universe_exclusion_candidate,NO,YES,ITALY_ONLY,market/universe.py
calculate_total_score,YES,YES,COMMON,engine/scoring.py
change_state,YES,YES,COMMON,state/change_engine.py
clamp,YES,YES,COMMON,engine/utils.py
classify_rs,YES,YES,COMMON,engine/indicators.py
classify_technical_state,YES,YES,COMMON,engine/indicators.py
compute_atr,YES,YES,COMMON,engine/indicators.py
compute_gross_rr,YES,YES,COMMON,engine/risk_reward.py
compute_net_rr,YES,YES,COMMON,engine/risk_reward.py
compute_rsi,YES,YES,COMMON,engine/indicators.py
coverage_cap,YES,YES,COMMON,engine/scoring.py
data_anomaly_engine,YES,YES,COMMON,engine/anomaly.py
data_quality_engine,YES,YES,COMMON,engine/data_quality.py
decision_engine,YES,YES,COMMON,engine/decision.py
detect_corporate_action_inconsistency,YES,YES,COMMON,engine/anomaly.py
display_state,YES,NO,USA_ONLY,engine/decision.py
extract_cashflow_line,YES,YES,COMMON,market/data_provider.py
extract_unknown_field,YES,YES,COMMON,engine/utils.py
fetch_market_hist,YES,YES,COMMON,market/regime.py
first_not_none,YES,YES,COMMON,engine/utils.py
fmt_num,YES,YES,COMMON,engine/utils.py
fmt_pct,YES,YES,COMMON,engine/utils.py
fmt_price,YES,YES,COMMON,engine/utils.py
gate_status,YES,YES,COMMON,engine/decision.py
generate_html,YES,YES,COMMON,reports/email_report.py
get_ftsemib_benchmark_hist,NO,YES,ITALY_ONLY,market/regime.py
get_portfolio_sectors,YES,YES,COMMON,portfolio/portfolio.py
get_previous_selected_tickers,YES,YES,COMMON,state/history.py
get_previous_snapshot,YES,YES,COMMON,state/history.py
get_yfinance_details,YES,YES,COMMON,market/data_provider.py
history_health,YES,YES,COMMON,state/history.py
html_escape,YES,YES,COMMON,engine/utils.py
init_db,YES,YES,COMMON,state/database.py
is_financial_sector_value,NO,YES,ITALY_ONLY,engine/value_trap.py
is_gem_foreign_listing,NO,YES,ITALY_ONLY,market/universe.py
is_otc_like,YES,YES,COMMON,market/universe.py
italian_market_session_status,NO,YES,ITALY_ONLY,market/session.py
json_safe,YES,YES,COMMON,state/snapshots.py
main,YES,YES,COMMON,monitor/master_scan.py
market_regime_engine,YES,YES,COMMON,market/regime.py
max_shares_by_cap,YES,YES,COMMON,engine/sizing.py
normalize_debt_to_equity,YES,YES,COMMON,engine/utils.py
normalize_percent,YES,YES,COMMON,engine/utils.py
now_utc_iso,YES,YES,COMMON,engine/utils.py
operational_rank_key,YES,YES,COMMON,engine/ranking.py
operational_state,YES,YES,COMMON,engine/decision.py
parse_portfolio_positions,YES,YES,COMMON,portfolio/portfolio.py
passes_survival,YES,YES,COMMON,market/universe.py
pct_return,YES,YES,COMMON,engine/indicators.py
point_score_ratio,YES,YES,COMMON,engine/scoring.py
portfolio_fit_score,YES,YES,COMMON,portfolio/portfolio.py
portfolio_heat_engine,YES,YES,COMMON,portfolio/heat.py
position_sizing,YES,YES,COMMON,engine/sizing.py
prebuy_engine,YES,NO,USA_ONLY,engine/prebuy.py
resolve_next_earnings_date,YES,YES,COMMON,engine/anomaly.py
run_single_tv_lens,YES,YES,COMMON,market/universe.py
run_tradingview_discovery,YES,YES,COMMON,market/universe.py
safe_float,YES,YES,COMMON,engine/utils.py
safe_int,YES,YES,COMMON,engine/utils.py
save_run,YES,YES,COMMON,state/snapshots.py
score_band,YES,YES,COMMON,engine/scoring.py
score_business_quality,YES,YES,COMMON,engine/scoring.py
score_catalyst_expectations,YES,YES,COMMON,engine/scoring.py
score_earnings_quality,YES,YES,COMMON,engine/scoring.py
score_entry_rr,YES,YES,COMMON,engine/scoring.py
score_financial_strength,YES,YES,COMMON,engine/scoring.py
score_growth_quality,YES,YES,COMMON,engine/scoring.py
score_technical,YES,YES,COMMON,engine/scoring.py
score_valuation,YES,YES,COMMON,engine/scoring.py
score_volume_rs,YES,YES,COMMON,engine/scoring.py
select_ranked,YES,YES,COMMON,engine/ranking.py
send_email,NO,YES,ITALY_ONLY,notifications/email_client.py
to_tv_symbol,NO,YES,ITALY_ONLY,market/universe.py
to_yfinance_ticker,NO,YES,ITALY_ONLY,market/universe.py
trigger_engine,YES,YES,COMMON,engine/triggers.py
tv_chart_url,YES,YES,COMMON,reports/email_report.py
validate_mail_config,NO,YES,ITALY_ONLY,notifications/email_client.py
value_trap_engine,YES,YES,COMMON,engine/value_trap.py
